Status,PropertyName,Spray showers after 2020,activated,broken,not yet activated
Activated,Flushing Meadows Corona Park,10,activated,,
Activated,Randall's Island Park,10,activated,,
Activated,Claremont Park,3,activated,,
Activated,Courtney Callender Playground,2,activated,,
Activated,Delphin H. Greene Playground,2,activated,,
Activated,Detective Keith L Williams Park,2,activated,,
Activated,Highbridge Park,2,activated,,
Activated,Pulaski Park,2,activated,,
Activated,Rockaway Beach Boardwalk,2,activated,,
Activated,Vidalia Park,2,activated,,
Activated,Andrews Grove,1,activated,,
Activated,Annunciation Playground,1,activated,,
Activated,Aqueduct Walk,1,activated,,
Activated,Asser Levy Park,1,activated,,
Activated,Bartlett Playground,1,activated,,
Activated,Bathgate Playground,1,activated,,
Activated,Beach 9 Playground,1,activated,,
Activated,Beatty Plaza,1,activated,,
Activated,Behagen Playground,1,activated,,
Activated,Benjamin Gladstone Square,1,activated,,
Activated,Bill Rainey Park,1,activated,,
Activated,Brevoort Playground,1,activated,,
Activated,Bryan Park,1,activated,,
Activated,Carver Playground,1,activated,,
Activated,Clark Playground,1,activated,,
Activated,Decatur Playground,1,activated,,
Activated,Devoe Park,1,activated,,
Activated,Dr. Ronald E. McNair Playground,1,activated,,
Activated,Eae J Mitchell Park,1,activated,,
Activated,Eleanor Roosevelt Playground,1,activated,,
Activated,Fox Playground,1,activated,,
Activated,Grove Hill Playground,1,activated,,
Activated,Harmony Park,1,activated,,
Activated,Holcombe Rucker Park,1,activated,,
Activated,Hot Spot Tot Lot,1,activated,,
Activated,Howard Bennett Playground,1,activated,,
Activated,Inwood Hill Park,1,activated,,
Activated,Jackie Robinson Park,1,activated,,
Activated,James Weldon Johnson Playground,1,activated,,
Activated,Lewis Playground,1,activated,,
Activated,Lozada Playground,1,activated,,
Activated,Lyons Square Park,1,activated,,
Activated,Magenta Playground,1,activated,,
Activated,Marconi Park,1,activated,,
Activated,Marcy Playground,1,activated,,
Activated,Martin Luther King Jr. Playground,1,activated,,
Activated,Middleton Playground,1,activated,,
Activated,Moore Playground,1,activated,,
Activated,Nautilus Playground,1,activated,,
Activated,Osborn Playground,1,activated,,
Activated,Pat Williams Playground,1,activated,,
Activated,People's Park,1,activated,,
Activated,Playground One Forty,1,activated,,
Activated,Poe Park,1,activated,,
Activated,Quarry Ballfields,1,activated,,
Activated,Railroad Playground,1,activated,,
Activated,Raymond Bush Playground,1,activated,,
Activated,Renaissance Playground,1,activated,,
Activated,Rev J Polite Playground,1,activated,,
Activated,Rev Lena Irons Unity Park,1,activated,,
Activated,Rose Hill Park,1,activated,,
Activated,Seth Low Playground/ Bealin Square,1,activated,,
Activated,Sheltering Arms Playground,1,activated,,
Activated,Springfield Park,1,activated,,
Activated,St. Mary's Park,1,activated,,
Activated,St. Nicholas Playground South,1,activated,,
Activated,Tiffany Playground,1,activated,,
Activated,Upper Highland Playground,1,activated,,
Activated,Van Cortlandt Park,1,activated,,
Activated,Washington Park,1,activated,,
Activated,Watson Gleason Playground,1,activated,,
Activated,Wayanda Park,1,activated,,
Activated,Webster Playground,1,activated,,
Broken,100% Playground,1,,broken,
Broken,Breukelen Ballfields,1,,broken,
Broken,Coffey Park,1,,broken,
Broken,Ethan Allen Playground,1,,broken,
Broken,Fish Playground,1,,broken,
Broken,Green Central Knoll,1,,broken,
Broken,Herbert Von King Park,1,,broken,
Broken,Kennedy King Playground,1,,broken,
Broken,P.S. 279 Playground,1,,broken,
Broken,Poor Richard's Playground,1,,broken,
Broken,Robert E. Venable Park,1,,broken,
Broken,Sankofa Park,1,,broken,
Broken,St. Andrew's Playground,1,,broken,
Broken,Tilden Playground,1,,broken,
Not Yet Activated,Broad Channel Park,1,,,not yet activated
Not Yet Activated,Crotona Park,1,,,not yet activated
Not Yet Activated,Mount Eden Malls,1,,,not yet activated
Not Yet Activated,Pelham Bay Park,1,,,not yet activated
Not Yet Activated,Rev Lena Irons Unity Park,1,,,not yet activated
